team_code,official_name,score_area,score_rows,score_mean_comprehensive,matched_team_dirs,matched_session_ids,has_materialized_replay,notes
T1,CQUauto,shanghai,15,75.5267,上海赛区/重庆大学_CQUauto,6940-1766211847,True,
T2,Liulang,shanghai,15,61.3853,上海赛区/东南大学_流浪东南号,6947-1766215908,True,
T3,e2e,shanghai,15,75.4387,上海赛区/东南大学_e2e,6930-1766202635,True,
T4,1216,shanghai,15,70.8627,上海赛区/华南理工_SCUT1216,6927-1766200590;6944-1766214451,True,
T5,limitless,shanghai,15,81.7913,上海赛区/江苏大学_测试无极限,6925-1766198568,True,
T6,thicv2025,shanghai,15,85.6093,上海赛区/清华&贵州大学_thicv2025,6921-1766196941,True,
T7,SMU,shanghai,15,80.3893,上海赛区/上海海事大学_SMU智驾出航,6938-1766210823,True,
T8,ADVRC,shanghai,15,79.366,上海赛区/上海交大_SJTU_ADVRC,6932-1766206403,True,
T9,takeover92,shanghai,15,78.9593,上海赛区/深圳技术大学_超车92队,6928-1766201641,True,
T10,tievplus,shanghai,15,57.4053,上海赛区/同济大学_tiev-plus,6933-1766207438;6948-1766217297,True,
T11,wsd,shanghai,15,89.4387,上海赛区/武汉理工大学_WUT_FSD,6923-1766197775,True,
T12,mingde,shanghai,15,49.8787,上海赛区/西华大学_西华明德贰队,6935-1766208365;6953-1766219816,True,
T14,bps,beijing,15,89.29,北京赛区/1-KUST-BPS,6922-1766197115,True,
T15,wulala,beijing,15,83.9773,北京赛区/2-wulawula,6924-1766198444,True,
T16,autoailab,beijing,15,88.3827,北京赛区/3-WUT-AutoAILab,6926-1766199712,True,
T17,panda,beijing,15,89.4153,北京赛区/4-Panda,6931-1766206339,True,
T18,bitsite,beijing,15,69.0047,北京赛区/5-BIT_Site,,False,
T19,223,beijing,15,29.6013,北京赛区/6-223,6937-1766209673,True,
T20,mm,beijing,15,82.168,北京赛区/7-MM妙妙妙,6941-1766212682,True,
T21,vtb917,beijing,15,61.334,北京赛区/9-SCUT_VTB_917,6934-1766207726,True,
