selection_group,area,area_rank,team_code,official_name,score_rows,score_mean_comprehensive,matched_team_dirs,matched_session_ids,has_materialized_replay
beijing_top5,beijing,1,T17,panda,15,89.4153,北京赛区/4-Panda,6931-1766206339,True
beijing_top5,beijing,2,T14,bps,15,89.29,北京赛区/1-KUST-BPS,6922-1766197115,True
beijing_top5,beijing,3,T16,autoailab,15,88.3827,北京赛区/3-WUT-AutoAILab,6926-1766199712,True
beijing_top5,beijing,4,T15,wulala,15,83.9773,北京赛区/2-wulawula,6924-1766198444,True
beijing_top5,beijing,5,T20,mm,15,82.168,北京赛区/7-MM妙妙妙,6941-1766212682,True
shanghai_top5,shanghai,1,T11,wsd,15,89.4387,上海赛区/武汉理工大学_WUT_FSD,6923-1766197775,True
shanghai_top5,shanghai,2,T6,thicv2025,15,85.6093,上海赛区/清华&贵州大学_thicv2025,6921-1766196941,True
shanghai_top5,shanghai,3,T5,limitless,15,81.7913,上海赛区/江苏大学_测试无极限,6925-1766198568,True
shanghai_top5,shanghai,4,T7,SMU,15,80.3893,上海赛区/上海海事大学_SMU智驾出航,6938-1766210823,True
shanghai_top5,shanghai,5,T8,ADVRC,15,79.366,上海赛区/上海交大_SJTU_ADVRC,6932-1766206403,True
