claim_id,phase,statement,evidence_path,figure,metric,value,uncertainty,status
C1,04_calibration/05_evaluation,M3 online IPV envelope is marginally valid under CQR on held-out test.,02_process/05_evaluation/metrics_summary.csv,01_results/figures/c1_validity_envelope.png,M3 coverage 80/90/95,0.816215;0.898666;0.949635,±3 pp gate; 80% endpoint-tie caveat,supported
C2,05_evaluation/06_m3_vs_m4,Context dominates sharpness; counterpart-IPV channels add little beyond context.,02_process/06_m3_vs_m4/m3_vs_m4_verdict.json,01_results/figures/c2_context_dominates.png,90% M2 vs M0 width; M3 vs M2 Winkler,-42.271248%;-0.014856%,case-cluster CIs on bars,supported
C3,06_m3_vs_m4,Counterpart-IPV is a robust practical null at 90% interval level.,02_process/06_m3_vs_m4/m3_vs_m4_verdict.json,01_results/figures/c3_counterpart_ipv_null.png,M3-minus-IPV-removed 90% Winkler,-0.000211426; -0.014856%,"case-cluster CI [-0.001886180,0.001504979]",supported
C4,06_m3_vs_m4_horizon_reconcile,The counterpart-IPV null holds across checked horizons; the -0.11 curve was an estimand artifact.,02_process/06_m3_vs_m4/exploration/reconcile/dependency_reconcile.json,01_results/figures/c4_horizon_reconciliation.png,canonical held-out partial r range,"Held-out row-level canonical partial r ranges -0.0393 to -0.0345; held-out case-level r ranges 0.0226 to 0.0575; best held-out dR2 over linear/HGB is h6=0.010609, h16=0.014090, h21=0.015037. rho^2 ranges 0.001192..0.001547; Ridge dR2 ranges 0.010609..0.015037 (below 0.02), while HGB dR2 is negative at all checked horizons (-0.012110..-0.005250).",guard_tune only; association diagnostic,supported_with_scope
C5,06_m3_vs_m4,Ego self-anchor adds only a marginal sharpness increment.,02_process/06_m3_vs_m4/m3_vs_m4_verdict.json,01_results/figures/c5_self_anchor_marginal.png,M4 vs M2 90% Winkler; M3 vs M4 90% Winkler,-2.722934%;2.783881%,below escalation bars,supported
C6,05_evaluation,"Main limitations are conditional subgroup coverage, cross-dataset transfer, and abstention dependence.",02_process/05_evaluation/metrics_long.csv,01_results/figures/c6_limitations.png,subgroups outside ±3pp; LODO M3 90 range,126/264; 0.748790-0.991481,descriptive conditional diagnostics,limitation
C6_ATOM,05_evaluation,"The IPV target has substantial atom/boundary mass, qualifying interval ties and the practical-null interpretation.",02_process/05_evaluation/evaluation_gate.json,90_report/index.html,test target exact-zero atom,273819/1270566;0.215509,exact repeats/boundary values create 80% tie/nudge fragility and attenuate correlations,limitation
C7,07_perturbation,Perturbation sensitivity supports validity robustness and the practical null.,02_process/07_perturbation/perturbation_gate.json,01_results/figures/c7_robustness_perturbation.png,validity_robust; null_robust,True;True,M3 guard_tune coverage range 0.8754..0.9119; M3 paired relative Winkler gain vs ipv_removed range -0.541%..1.193%. Validity robust=True; counterpart null robust=True.,supported
P2,02_provenance,"Provenance/schema gate passed with hash, key, timing, and uncertainty semantics verified.",02_process/02_provenance/provenance_gate.json,90_report/index.html,provenance status,PASS,none; gate artifact,supported
P3,03_features,Feature contract is leakage-safe and hw4 target parity is exact on audited samples.,02_process/03_features/matrix_audit.json,90_report/index.html,target rederive max_abs_diff; case split bleed,0.0;True,400-anchor audit plus full matrix health,supported
P4,04_calibration,"CQR calibration, non-crossing, OOD support gate, and conformal validity checks passed.",02_process/04_calibration/calibration_gate.json,01_results/figures/c1_validity_envelope.png,calibration status; non_crossing_ok; abstention,PASS;True;0.047781,80% tie caveat retained,supported
P8,08_review,Independent review found no blocking or major issue.,02_process/08_review/review_gate.json,90_report/index.html,blocking; major; minor,0;0;2,minor hygiene findings retained,supported
P9,09_red_team,Red team found no leakage or null-effect exploit.,02_process/09_red_team/red_team_gate.json,90_report/index.html,exploits_found; blocking,0;0,80% endpoint tie caveat retained,supported
P10,10_replication,Replication divergence is reconciled; practical null remains below the 5% meaningful bar.,02_process/10_replication/replication_reconcile.json,01_results/figures/c3_counterpart_ipv_null.png,null_reconciled; max_abs_observed_pct,True;0.333852%,route differences documented,supported
